reviews,seat_type,date,country,recommend
"""appalling customer service""",Business Class,2023-08-28,United Kingdom,no
"""standards are worse than ever"" ",Business Class,2023-08-27,United Kingdom,no
"""still waiting for reimbursement""",Economy Class,2023-08-27,United Kingdom,no
"""unprofessional, uncaring""",Business Class,2023-08-27,United Kingdom,no
"""Nice flight, good crew, very good seat""",Business Class,2023-08-26,United States,yes
"""Such a horrible experience""",Economy Class,2023-08-26,Canada,no
"""Never again, BA""",Economy Class,2023-08-25,Denmark,no
"""ravioli pasta had dried out""",Business Class,2023-08-24,United Kingdom,yes
"""Great customer service""",Economy Class,2023-08-19,United States,yes
"""Cabin crew were all fantastic""",Business Class,2023-08-13,United Kingdom,yes
"""asked us to check our bags""",Economy Class,2023-08-12,United States,no
"""service is extremely poor""",Economy Class,2023-08-11,United Kingdom,no
"""superior to mainline British Airways""",Economy Class,2023-08-08,United Kingdom,yes
"""Staff quite unpleasant""",Economy Class,2023-08-08,Canada,no
"""They lost my baggage""",Economy Class,2023-08-08,Poland,no
"""leaving two hours late"" ",Economy Class,2023-08-05,United Kingdom,no
"""flight is delayed"" ",Economy Class,2023-08-04,United Kingdom,no
"""Couldn't recommend BA more""",Business Class,2023-08-01,Hong Kong,yes
"""bumped off due to overselling""",Economy Class,2023-07-31,United Kingdom,no
"""a very comfortable flight""",Business Class,2023-07-31,Iceland,yes
"""good onboard service""",Business Class,2023-07-31,Iceland,yes
"""they have really gone downhill""",Economy Class,2023-07-29,Canada,no
"""lives in their past glory""",Business Class,2023-07-26,Qatar,no
"""Check-in Desk rude and dismissive""",Economy Class,2023-07-26,United Kingdom,no
"""All in all, terrible""",Economy Class,2023-07-25,Spain,no
"""cancelled the rebooked flight""",Premium Economy,2023-07-24,United Kingdom,no
"""Zero empathy was shown""",Economy Class,2023-07-21,Germany,no
"""pilot apologise at every step of the way""",Economy Class,2023-07-21,United Kingdom,no
"""crew were always ready to top up drinks""",Business Class,2023-07-20,United Kingdom,no
"""The service is really mediocre""",Economy Class,2023-07-20,United Kingdom,no
"""made their economy experience so miserable""",Economy Class,2023-07-20,United Kingdom,no
"""Customer Service does not exist""",Business Class,2023-07-18,United Kingdom,no
"""another great experience""",Business Class,2023-07-17,United Kingdom,yes
"""Not recommended"" ",Business Class,2023-07-17,United Kingdom,no
